gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PDE8B,0.0,0.0,1.08776676857951,0.523692563596661,1.17178283588341,0.0,0.41615796575958,0.94377060591142,0.519495579325929,0.745642023018216,0.428531777423316
PDE9A,4.53276267595641,9.87878537099134,10.6116635851818,9.08241969587533,12.7014209382025,5.33174758084676,2.706541180515,7.16093388415468,1.12620390510832,4.84938654853769,2.78701598475601
PDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8207111689172,0.0,0.0,0.0
PDGFA,2.02999215018386,3.31815134446108,9.50484078620584,14.2364264398515,5.68831563529668,0.0,6.46464594876593,5.49774063521803,0.0,13.0307505561098,6.65686216958669
PDGFB,1.22889027560459,0.0,3.19662057485744,2.46236082520377,1.37740744823127,0.321223413842123,2.4459271126201,1.10938360095033,1.22131346931242,1.31473108083875,0.503730592351322
PDGFC,11.6464725837095,0.0,3.23147734176414,3.8893922442651,6.09186834692311,0.811815289902864,0.0,4.20555226118241,0.771644364504074,1.1075560368502,5.72876324260185
PDGFD,4.67920053851547,0.637370919409379,1.8257482802454,4.10193053319538,1.31117598565666,1.22311063963327,3.72530686904844,1.05603983651696,1.74388147890928,0.417171119314475,5.75410963644592
PDGFRA,0.0,0.0,0.0,0.0,0.0,0.0,0.279104441761303,0.0,0.0,0.0,0.0
PDGFRB,0.81746796247341,0.445401134267001,0.425283682360278,0.818991380521484,2.29065703129465,0.4273609366517,0.325410183936612,1.84492783829726,1.21864171251046,0.874569975195676,1.00525725316453
PDGFRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHA1,27.4686588411498,16.0615277643248,11.8506042275137,24.1637697846804,18.7733997085738,15.7612331671331,20.2687791332543,18.7492511594348,31.2943183236167,11.4682566569549,21.4206882614939
PDHA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHB,18.3536814835878,38.3336659251067,41.3764538219859,24.5171800827755,18.857492736738,15.1921635391384,38.9656852078858,31.7569229030391,51.6814750796076,26.1809709928911,37.6165025840349
PDHX,10.1611705469294,9.36922452918949,9.7593211285407,13.312447242486,8.76091986400114,6.94661758106976,10.5788803370933,9.17302072854067,10.0985211611671,9.47723987623355,2.56315927915312
PDIA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDIA3,101.709984888215,88.3340997404632,72.4087941884755,92.7055871879947,84.0015585545602,54.3719537190217,76.7136927530254,112.52996593903,101.082885082173,69.2704857520245,97.1759650087569
PDIA3P1,31.1549152577528,30.312316355427,24.3122868895375,43.4752151461865,44.8973143368687,19.1958153732535,32.7763555347837,40.1788191254144,34.2802733212366,33.3311575682485,41.9605903526725
PDIA4,58.328532463788,24.05015804038,31.1652705090287,26.8495392241297,30.0384532846305,13.1863132880341,26.3565775304016,16.3661226030849,35.2513605059977,19.1144061762983,24.5554638197908
PDIA5,11.2886969490219,5.4672869628392,5.22034578089502,5.02654860182575,2.81177535484805,0.0,7.98880253926444,2.2646439673535,2.49313238284452,3.57844098694457,2.056584298096
PDIA6,129.653647298507,86.2880064788935,105.930813128829,158.664017919254,111.186648849271,56.86336605877,117.078074024341,129.613741820048,159.12203789523,79.4403233107693,79.8972272470438
PDIK1L,4.30111596461609,3.51522386906305,2.23763440240021,1.07728286102665,4.82092606880945,1.68642292267115,4.28037244708519,3.88284260332618,2.67162321412092,3.45116908720172,2.64458560984444
